Type of Transaction,Sender ID,Receiver ID,Amount of Money Transferred,Date,Is Fraud,Type of Fraud,Day of the Week
cash-in,75076,24618,4200.44,7/9/2019 13:48,1,type1,Tuesday
cash-in,75076,6644,4200.44,6/9/2019 11:51,1,type1,Sunday
cash-in,75076,24841,4200.44,7/16/2019 10:33,1,type1,Tuesday
cash-in,75076,20067,4200.44,4/13/2019 14:49,1,type1,Saturday
cash-in,75076,6646,4200.44,5/20/2019 15:04,1,type1,Monday
cash-in,75076,90581,4200.44,5/18/2019 14:48,1,type1,Saturday
cash-in,75076,50112,4200.44,5/23/2019 8:02,1,type1,Thursday
cash-in,75076,75668,4200.44,5/12/2019 12:47,1,type1,Sunday
cash-in,75076,66439,4200.44,4/18/2019 14:58,1,type1,Thursday
cash-in,75076,16595,4200.44,7/6/2019 8:43,1,type1,Saturday
cash-in,75076,71373,4200.45,3/19/2019 8:35,1,type1,Tuesday
cash-in,75076,49051,4200.45,4/30/2019 10:53,1,type1,Tuesday
cash-in,75076,34544,4200.45,2/21/2019 8:23,1,type1,Thursday
cash-in,75076,1512,4200.45,7/7/2019 15:39,1,type1,Sunday
cash-in,82930,82726,7798.84,4/1/2019 12:23,1,type1,Monday
cash-in,82930,72794,7798.84,3/22/2019 14:42,1,type1,Friday
cash-in,82930,43090,7798.84,5/16/2019 12:35,1,type1,Thursday
cash-in,82930,16422,7798.84,5/15/2019 15:58,1,type1,Wednesday
cash-in,82930,85116,7798.84,4/8/2019 12:03,1,type1,Monday
cash-in,82930,83961,7798.84,3/26/2019 13:41,1,type1,Tuesday
cash-in,82930,29156,7798.84,3/5/2019 10:46,1,type1,Tuesday
cash-in,82930,89577,7798.84,7/12/2019 10:17,1,type1,Friday
cash-in,82930,45031,7798.84,3/12/2019 8:45,1,type1,Tuesday
cash-in,82930,67096,7798.85,6/23/2019 12:50,1,type1,Sunday
cash-in,13919,53522,3232.48,7/13/2019 15:41,1,type1,Saturday
cash-in,13919,61430,3232.48,7/1/2019 12:48,1,type1,Monday
cash-in,13919,33512,3232.48,7/5/2019 13:33,1,type1,Friday
cash-in,13919,45513,3232.48,5/18/2019 14:37,1,type1,Saturday
cash-in,13919,90767,3232.48,4/28/2019 8:49,1,type1,Sunday
cash-in,13919,11846,3232.48,4/6/2019 8:44,1,type1,Saturday
cash-in,13919,25667,3232.48,7/14/2019 9:30,1,type1,Sunday
cash-in,13919,27636,3232.48,5/3/2019 8:56,1,type1,Friday
cash-in,13919,63975,3232.48,5/25/2019 10:16,1,type1,Saturday
cash-in,13919,50139,3232.48,5/22/2019 8:25,1,type1,Wednesday
cash-in,13919,86945,3232.48,3/24/2019 12:32,1,type1,Sunday
cash-in,13919,87092,3232.48,4/16/2019 14:33,1,type1,Tuesday
cash-in,13919,68015,3232.48,3/27/2019 12:41,1,type1,Wednesday
cash-in,13919,79614,3232.48,4/9/2019 15:24,1,type1,Tuesday
cash-in,13919,31440,3232.48,5/14/2019 8:03,1,type1,Tuesday
cash-in,13919,57534,3232.48,4/28/2019 14:12,1,type1,Sunday
cash-in,13919,26472,3232.48,2/24/2019 12:33,1,type1,Sunday
cash-in,13919,6984,3232.48,4/4/2019 9:07,1,type1,Thursday
cash-in,13919,33911,3232.48,5/3/2019 9:20,1,type1,Friday
cash-in,13919,44716,3232.48,3/16/2019 15:52,1,type1,Saturday
cash-in,13919,57919,3232.48,4/29/2019 10:50,1,type1,Monday
cash-in,13919,95350,3232.48,5/23/2019 13:39,1,type1,Thursday
cash-in,13919,95241,3232.48,4/25/2019 13:29,1,type1,Thursday
cash-in,13919,59719,3232.49,7/5/2019 8:52,1,type1,Friday
transfer,42454,32893,72701.89,2/25/2019 11:50,1,type2,Monday
transfer,32893,30530,72701.89,3/12/2019 11:43,1,type2,Tuesday
transfer,30530,36647,72701.89,3/17/2019 10:25,1,type2,Sunday
transfer,36647,64269,72701.89,5/29/2019 10:06,1,type2,Wednesday
transfer,64269,48051,72701.89,5/31/2019 9:00,1,type2,Friday
transfer,48051,1970,72701.89,7/16/2019 12:45,1,type2,Tuesday
transfer,44881,76348,59835.03,3/6/2019 14:51,1,type2,Wednesday
transfer,76348,96871,59835.03,3/21/2019 13:42,1,type2,Thursday
transfer,96871,70897,59835.03,4/10/2019 12:57,1,type2,Wednesday
transfer,70897,98417,59835.03,4/16/2019 13:05,1,type2,Tuesday
transfer,98417,77678,59835.03,4/25/2019 15:30,1,type2,Thursday
transfer,77678,98047,59835.03,5/26/2019 15:13,1,type2,Sunday
transfer,98047,60563,59835.03,6/5/2019 8:27,1,type2,Wednesday
transfer,60563,414,59835.03,7/15/2019 11:12,1,type2,Monday
transfer,414,84965,59835.03,7/19/2019 15:36,1,type2,Friday
transfer,58314,96855,69446.1,2/26/2019 15:23,1,type2,Tuesday
transfer,96855,92885,69446.1,2/27/2019 14:59,1,type2,Wednesday
transfer,92885,85539,69446.1,3/6/2019 10:23,1,type2,Wednesday
transfer,85539,74228,69446.1,3/26/2019 11:38,1,type2,Tuesday
transfer,74228,35778,69446.1,4/2/2019 14:36,1,type2,Tuesday
transfer,35778,66713,69446.1,4/8/2019 14:16,1,type2,Monday
transfer,66713,8567,69446.1,4/12/2019 13:13,1,type2,Friday
transfer,8567,87555,69446.1,4/19/2019 8:32,1,type2,Friday
transfer,87555,91021,69446.1,4/19/2019 10:40,1,type2,Friday
transfer,91021,59712,69446.1,4/21/2019 11:27,1,type2,Sunday
transfer,59712,33274,69446.1,4/23/2019 15:22,1,type2,Tuesday
transfer,33274,95242,69446.1,5/7/2019 9:37,1,type2,Tuesday
transfer,95242,70731,69446.1,5/9/2019 15:17,1,type2,Thursday
transfer,70731,41780,69446.1,5/10/2019 11:49,1,type2,Friday
transfer,41780,35225,69446.1,5/15/2019 12:07,1,type2,Wednesday
transfer,35225,47114,69446.1,5/21/2019 11:51,1,type2,Tuesday
transfer,47114,13272,69446.1,5/25/2019 10:01,1,type2,Saturday
transfer,13272,5645,69446.1,5/31/2019 8:52,1,type2,Friday
transfer,5645,70436,69446.1,6/5/2019 10:40,1,type2,Wednesday
transfer,70436,2802,69446.1,6/5/2019 15:30,1,type2,Wednesday
transfer,2802,87433,69446.1,6/13/2019 13:45,1,type2,Thursday
transfer,87433,90992,69446.1,6/28/2019 15:42,1,type2,Friday
transfer,90992,4943,69446.1,7/5/2019 12:15,1,type2,Friday
transfer,83481,18652,72592.13,2/24/2019 12:54,1,type2,Sunday
transfer,18652,46559,72592.13,3/5/2019 13:05,1,type2,Tuesday
transfer,46559,82128,72592.13,3/15/2019 11:01,1,type2,Friday
transfer,82128,35540,72592.13,3/18/2019 8:54,1,type2,Monday
transfer,35540,48703,72592.13,4/3/2019 11:23,1,type2,Wednesday
transfer,48703,4689,72592.13,4/7/2019 12:59,1,type2,Sunday
transfer,4689,73081,72592.13,4/14/2019 15:47,1,type2,Sunday
transfer,73081,43005,72592.13,4/27/2019 13:58,1,type2,Saturday
transfer,43005,23718,72592.13,4/29/2019 8:56,1,type2,Monday
transfer,23718,75731,72592.13,5/10/2019 14:59,1,type2,Friday
transfer,75731,13541,72592.13,5/12/2019 14:21,1,type2,Sunday
transfer,13541,86616,72592.13,5/21/2019 13:00,1,type2,Tuesday
transfer,86616,30351,72592.13,5/23/2019 9:40,1,type2,Thursday
transfer,30351,54421,72592.13,5/24/2019 13:25,1,type2,Friday
transfer,54421,71902,72592.13,5/26/2019 11:49,1,type2,Sunday
transfer,71902,89585,72592.13,6/9/2019 8:05,1,type2,Sunday
transfer,89585,62633,72592.13,6/11/2019 8:49,1,type2,Tuesday
transfer,62633,51413,72592.13,6/20/2019 8:02,1,type2,Thursday
transfer,51413,51492,72592.13,6/20/2019 8:46,1,type2,Thursday
transfer,51492,67532,72592.13,6/20/2019 13:05,1,type2,Thursday
transfer,67532,20238,72592.13,6/27/2019 12:15,1,type2,Thursday
transfer,20238,95209,72592.13,6/30/2019 12:32,1,type2,Sunday
transfer,95209,12159,72592.13,7/1/2019 14:43,1,type2,Monday
transfer,12159,31132,72592.13,7/18/2019 15:43,1,type2,Thursday
transfer,51905,83520,70426.28,3/13/2019 14:42,1,type2,Wednesday
transfer,83520,21933,70426.28,3/13/2019 15:15,1,type2,Wednesday
transfer,21933,28680,70426.28,3/14/2019 12:39,1,type2,Thursday
transfer,28680,61453,70426.28,3/18/2019 11:02,1,type2,Monday
transfer,61453,99444,70426.28,4/23/2019 11:39,1,type2,Tuesday
transfer,99444,25410,70426.28,4/23/2019 14:34,1,type2,Tuesday
transfer,25410,98222,70426.28,5/27/2019 10:07,1,type2,Monday
transfer,98222,48954,70426.28,6/5/2019 13:46,1,type2,Wednesday
transfer,48954,62123,70426.28,6/11/2019 11:03,1,type2,Tuesday
transfer,62123,1008,70426.28,7/1/2019 10:04,1,type2,Monday
transfer,1008,19795,70426.28,7/8/2019 10:45,1,type2,Monday
transfer,19795,36123,70426.28,7/8/2019 13:22,1,type2,Monday
transfer,47590,16290,71300.66,3/8/2019 8:18,1,type2,Friday
transfer,16290,12859,71300.66,3/9/2019 10:38,1,type2,Saturday
transfer,12859,60685,71300.66,3/9/2019 12:49,1,type2,Saturday
transfer,60685,93590,71300.66,4/8/2019 11:21,1,type2,Monday
transfer,93590,41731,71300.66,4/26/2019 9:26,1,type2,Friday
transfer,41731,59544,71300.66,4/29/2019 8:02,1,type2,Monday
transfer,59544,34132,71300.66,5/5/2019 11:18,1,type2,Sunday
transfer,34132,28150,71300.66,5/19/2019 15:58,1,type2,Sunday
transfer,28150,44752,71300.66,5/23/2019 9:43,1,type2,Thursday
transfer,44752,63384,71300.66,5/25/2019 8:11,1,type2,Saturday
transfer,63384,28424,71300.66,5/27/2019 8:55,1,type2,Monday
transfer,28424,17067,71300.66,6/17/2019 11:40,1,type2,Monday
transfer,17067,61320,71300.66,7/5/2019 11:56,1,type2,Friday
transfer,61320,11181,71300.66,7/13/2019 10:47,1,type2,Saturday
transfer,70212,19597,74740.36,3/3/2019 8:17,1,type2,Sunday
transfer,19597,1265,74740.36,3/13/2019 15:17,1,type2,Wednesday
transfer,1265,66955,74740.36,3/28/2019 13:53,1,type2,Thursday
transfer,66955,47361,74740.36,4/1/2019 10:29,1,type2,Monday
transfer,47361,55499,74740.36,5/11/2019 9:55,1,type2,Saturday
transfer,55499,37773,74740.36,5/14/2019 10:18,1,type2,Tuesday
transfer,37773,25554,74740.36,5/17/2019 10:12,1,type2,Friday
transfer,25554,59135,74740.36,5/24/2019 15:38,1,type2,Friday
transfer,59135,50648,74740.36,6/2/2019 15:29,1,type2,Sunday
transfer,50648,67134,74740.36,6/9/2019 13:36,1,type2,Sunday
transfer,67134,98434,74740.36,6/15/2019 11:32,1,type2,Saturday
transfer,98434,15793,74740.36,7/6/2019 8:23,1,type2,Saturday
transfer,15793,28005,74740.36,7/17/2019 12:02,1,type2,Wednesday
transfer,28005,77462,74740.36,7/18/2019 9:50,1,type2,Thursday
transfer,31270,93784,76298.66,3/8/2019 13:26,1,type2,Friday
transfer,93784,12394,76298.66,3/11/2019 12:28,1,type2,Monday
transfer,12394,12290,76298.66,3/27/2019 11:06,1,type2,Wednesday
transfer,12290,31377,76298.66,5/12/2019 15:59,1,type2,Sunday
transfer,31377,45615,76298.66,6/1/2019 11:47,1,type2,Saturday
transfer,45615,18899,76298.66,6/17/2019 10:57,1,type2,Monday
transfer,18899,79698,76298.66,6/22/2019 10:08,1,type2,Saturday
transfer,79698,5891,76298.66,7/5/2019 9:12,1,type2,Friday
transfer,5891,27880,76298.66,7/6/2019 11:10,1,type2,Saturday
transfer,29182,4588,78818.78,2/22/2019 8:34,1,type2,Friday
transfer,4588,30874,78818.78,3/17/2019 13:11,1,type2,Sunday
transfer,30874,10085,78818.78,3/21/2019 9:53,1,type2,Thursday
transfer,10085,75200,78818.78,4/8/2019 10:55,1,type2,Monday
transfer,75200,90043,78818.78,4/13/2019 13:58,1,type2,Saturday
transfer,90043,18262,78818.78,5/10/2019 14:55,1,type2,Friday
transfer,18262,27723,78818.78,5/11/2019 11:38,1,type2,Saturday
transfer,27723,76733,78818.78,5/19/2019 12:43,1,type2,Sunday
transfer,76733,60635,78818.78,6/1/2019 13:43,1,type2,Saturday
transfer,60635,79115,78818.78,6/3/2019 12:06,1,type2,Monday
transfer,79115,81153,78818.78,7/4/2019 11:40,1,type2,Thursday
transfer,81153,61280,78818.78,7/7/2019 10:53,1,type2,Sunday
transfer,61280,70824,78818.78,7/17/2019 13:04,1,type2,Wednesday
transfer,25682,59982,55051.35,2/21/2019 9:10,1,type2,Thursday
transfer,59982,87061,55051.35,2/21/2019 15:50,1,type2,Thursday
transfer,87061,55735,55051.35,2/26/2019 8:31,1,type2,Tuesday
transfer,55735,81463,55051.35,3/4/2019 8:29,1,type2,Monday
transfer,81463,29791,55051.35,3/20/2019 10:02,1,type2,Wednesday
transfer,29791,84810,55051.35,3/27/2019 14:19,1,type2,Wednesday
transfer,84810,18415,55051.35,3/31/2019 11:07,1,type2,Sunday
transfer,18415,40262,55051.35,4/11/2019 14:09,1,type2,Thursday
transfer,40262,91800,55051.35,4/12/2019 9:55,1,type2,Friday
transfer,91800,78720,55051.35,4/12/2019 13:13,1,type2,Friday
transfer,78720,23436,55051.35,4/17/2019 11:03,1,type2,Wednesday
transfer,23436,23329,55051.35,4/19/2019 14:06,1,type2,Friday
transfer,23329,77289,55051.35,5/4/2019 14:02,1,type2,Saturday
transfer,77289,24637,55051.35,5/14/2019 12:16,1,type2,Tuesday
transfer,24637,23120,55051.35,5/19/2019 14:16,1,type2,Sunday
transfer,23120,23021,55051.35,6/1/2019 12:50,1,type2,Saturday
transfer,23021,35384,55051.35,6/4/2019 8:55,1,type2,Tuesday
transfer,35384,36942,55051.35,6/6/2019 12:20,1,type2,Thursday
transfer,36942,44071,55051.35,6/7/2019 11:07,1,type2,Friday
transfer,44071,6211,55051.35,6/30/2019 9:28,1,type2,Sunday
transfer,6211,40833,55051.35,7/2/2019 15:25,1,type2,Tuesday
transfer,40833,69782,55051.35,7/12/2019 8:39,1,type2,Friday
transfer,69782,1906,55051.35,7/12/2019 9:58,1,type2,Friday
transfer,39185,10202,50047.35,3/3/2019 14:31,1,type2,Sunday
transfer,10202,8566,50047.35,3/9/2019 8:11,1,type2,Saturday
transfer,8566,68275,50047.35,4/3/2019 8:40,1,type2,Wednesday
transfer,68275,54367,50047.35,4/26/2019 15:24,1,type2,Friday
transfer,54367,31610,50047.35,5/17/2019 13:57,1,type2,Friday
transfer,31610,65175,50047.35,5/21/2019 12:07,1,type2,Tuesday
transfer,65175,2349,50047.35,5/25/2019 15:32,1,type2,Saturday
transfer,2349,59772,50047.35,6/8/2019 9:58,1,type2,Saturday
transfer,59772,91404,50047.35,6/10/2019 11:18,1,type2,Monday
transfer,91404,54988,50047.35,6/19/2019 12:54,1,type2,Wednesday
transfer,54988,88062,50047.35,6/28/2019 13:38,1,type2,Friday
transfer,88062,51626,50047.35,7/2/2019 12:03,1,type2,Tuesday
transfer,51626,12781,50047.35,7/3/2019 10:04,1,type2,Wednesday
transfer,20849,70229,58208.94,2/22/2019 13:04,1,type2,Friday
transfer,70229,355,58208.94,2/22/2019 15:51,1,type2,Friday
transfer,355,32083,58208.94,2/26/2019 10:58,1,type2,Tuesday
transfer,32083,7844,58208.94,2/27/2019 11:43,1,type2,Wednesday
transfer,7844,57355,58208.94,3/1/2019 15:53,1,type2,Friday
transfer,57355,23333,58208.94,3/9/2019 11:40,1,type2,Saturday
transfer,23333,51985,58208.94,3/10/2019 11:46,1,type2,Sunday
transfer,51985,90802,58208.94,3/18/2019 8:48,1,type2,Monday
transfer,90802,27855,58208.94,3/20/2019 15:20,1,type2,Wednesday
transfer,27855,22279,58208.94,4/16/2019 9:09,1,type2,Tuesday
transfer,22279,78391,58208.94,4/16/2019 9:35,1,type2,Tuesday
transfer,78391,65372,58208.94,5/9/2019 10:38,1,type2,Thursday
transfer,65372,8719,58208.94,5/15/2019 9:07,1,type2,Wednesday
transfer,8719,59910,58208.94,5/19/2019 8:15,1,type2,Sunday
transfer,59910,18263,58208.94,5/20/2019 8:08,1,type2,Monday
transfer,18263,48977,58208.94,6/1/2019 11:42,1,type2,Saturday
transfer,48977,90823,58208.94,6/2/2019 14:52,1,type2,Sunday
transfer,90823,92278,58208.94,6/4/2019 12:14,1,type2,Tuesday
transfer,92278,59150,58208.94,6/8/2019 9:28,1,type2,Saturday
transfer,59150,55884,58208.94,6/10/2019 8:45,1,type2,Monday
transfer,55884,15913,58208.94,6/13/2019 13:02,1,type2,Thursday
transfer,15913,99193,58208.94,7/2/2019 11:57,1,type2,Tuesday
transfer,99193,2405,58208.94,7/3/2019 12:12,1,type2,Wednesday
transfer,30553,89924,70134.98,2/28/2019 11:43,1,type2,Thursday
transfer,89924,75789,70134.98,3/9/2019 8:31,1,type2,Saturday
transfer,75789,8475,70134.98,3/9/2019 13:49,1,type2,Saturday
transfer,8475,68269,70134.98,3/13/2019 8:16,1,type2,Wednesday
transfer,68269,17819,70134.98,3/19/2019 9:43,1,type2,Tuesday
transfer,17819,9884,70134.98,3/25/2019 13:54,1,type2,Monday
transfer,9884,95983,70134.98,4/20/2019 14:06,1,type2,Saturday
transfer,95983,56458,70134.98,4/28/2019 15:04,1,type2,Sunday
transfer,56458,22341,70134.98,5/1/2019 14:58,1,type2,Wednesday
transfer,22341,636,70134.98,5/5/2019 9:48,1,type2,Sunday
transfer,636,63148,70134.98,5/15/2019 10:24,1,type2,Wednesday
transfer,63148,89382,70134.98,5/20/2019 12:11,1,type2,Monday
transfer,89382,44038,70134.98,5/27/2019 15:17,1,type2,Monday
transfer,44038,49500,70134.98,5/31/2019 12:56,1,type2,Friday
transfer,49500,89628,70134.98,6/3/2019 12:01,1,type2,Monday
transfer,89628,68940,70134.98,6/28/2019 11:14,1,type2,Friday
transfer,68940,8637,70134.98,6/29/2019 10:36,1,type2,Saturday
transfer,8637,38215,70134.98,7/1/2019 11:49,1,type2,Monday
transfer,38215,35484,70134.98,7/4/2019 9:39,1,type2,Thursday
transfer,35484,3185,70134.98,7/8/2019 13:24,1,type2,Monday
transfer,3185,46114,70134.98,7/15/2019 12:05,1,type2,Monday
transfer,85457,50028,55233.79,2/21/2019 14:12,1,type2,Thursday
transfer,50028,56742,55233.79,2/23/2019 13:46,1,type2,Saturday
transfer,56742,1366,55233.79,2/27/2019 9:20,1,type2,Wednesday
transfer,1366,3381,55233.79,3/1/2019 15:51,1,type2,Friday
transfer,3381,50866,55233.79,3/4/2019 9:55,1,type2,Monday
transfer,50866,62749,55233.79,3/6/2019 9:35,1,type2,Wednesday
transfer,62749,3912,55233.79,3/12/2019 15:13,1,type2,Tuesday
transfer,3912,62828,55233.79,4/1/2019 13:46,1,type2,Monday
transfer,62828,62413,55233.79,4/5/2019 14:54,1,type2,Friday
transfer,62413,8657,55233.79,4/16/2019 11:26,1,type2,Tuesday
transfer,8657,57832,55233.79,4/16/2019 12:15,1,type2,Tuesday
transfer,57832,82169,55233.79,5/7/2019 15:24,1,type2,Tuesday
transfer,82169,36275,55233.79,5/24/2019 9:17,1,type2,Friday
transfer,36275,18972,55233.79,5/24/2019 14:23,1,type2,Friday
transfer,18972,62001,55233.79,6/2/2019 13:03,1,type2,Sunday
transfer,62001,50177,55233.79,6/12/2019 13:50,1,type2,Wednesday
transfer,50177,94708,55233.79,7/2/2019 14:50,1,type2,Tuesday
transfer,94708,41032,55233.79,7/5/2019 11:09,1,type2,Friday
transfer,41032,30699,55233.79,7/11/2019 10:26,1,type2,Thursday
transfer,30699,97635,55233.79,7/16/2019 10:24,1,type2,Tuesday
transfer,97635,90379,55233.79,7/18/2019 12:53,1,type2,Thursday
transfer,73532,58640,66548.03,2/21/2019 10:00,1,type2,Thursday
transfer,58640,1577,66548.03,2/26/2019 12:42,1,type2,Tuesday
transfer,1577,84551,66548.03,3/6/2019 14:06,1,type2,Wednesday
transfer,84551,97738,66548.03,3/21/2019 9:02,1,type2,Thursday
transfer,97738,92460,66548.03,3/25/2019 10:17,1,type2,Monday
transfer,92460,6599,66548.03,3/26/2019 10:22,1,type2,Tuesday
transfer,6599,32997,66548.03,3/28/2019 15:58,1,type2,Thursday
transfer,32997,57384,66548.03,4/1/2019 11:55,1,type2,Monday
transfer,57384,42460,66548.03,4/4/2019 12:30,1,type2,Thursday
transfer,42460,32346,66548.03,4/12/2019 13:26,1,type2,Friday
transfer,32346,26734,66548.03,4/16/2019 10:05,1,type2,Tuesday
transfer,26734,78224,66548.03,4/16/2019 11:35,1,type2,Tuesday
transfer,78224,64582,66548.03,4/16/2019 14:03,1,type2,Tuesday
transfer,64582,57711,66548.03,5/5/2019 9:08,1,type2,Sunday
transfer,57711,89866,66548.03,5/11/2019 8:08,1,type2,Saturday
transfer,89866,9408,66548.03,5/17/2019 9:37,1,type2,Friday
transfer,9408,47099,66548.03,5/19/2019 9:18,1,type2,Sunday
transfer,47099,28292,66548.03,5/25/2019 12:16,1,type2,Saturday
transfer,28292,24583,66548.03,6/6/2019 13:05,1,type2,Thursday
transfer,24583,94580,66548.03,6/7/2019 11:33,1,type2,Friday
transfer,94580,98137,66548.03,6/23/2019 8:18,1,type2,Sunday
transfer,98137,52566,66548.03,7/8/2019 13:13,1,type2,Monday
transfer,52566,8509,66548.03,7/10/2019 15:55,1,type2,Wednesday
transfer,8509,82804,66548.03,7/18/2019 12:22,1,type2,Thursday
transfer,61330,80052,70125.27,3/25/2019 13:26,1,type2,Monday
transfer,80052,52054,70125.27,4/1/2019 8:58,1,type2,Monday
transfer,52054,75252,70125.27,4/8/2019 9:20,1,type2,Monday
transfer,75252,94658,70125.27,4/13/2019 12:06,1,type2,Saturday
transfer,94658,29555,70125.27,4/26/2019 10:09,1,type2,Friday
transfer,29555,83209,70125.27,5/12/2019 14:02,1,type2,Sunday
transfer,83209,25531,70125.27,5/18/2019 15:23,1,type2,Saturday
transfer,25531,37485,70125.27,5/19/2019 11:00,1,type2,Sunday
transfer,37485,52245,70125.27,6/7/2019 8:10,1,type2,Friday
transfer,52245,27205,70125.27,6/29/2019 11:27,1,type2,Saturday
transfer,27205,7012,70125.27,7/2/2019 8:35,1,type2,Tuesday
transfer,34166,99897,67638.14,2/21/2019 8:15,1,type2,Thursday
transfer,99897,90762,67638.14,4/8/2019 13:07,1,type2,Monday
transfer,90762,94652,67638.14,5/8/2019 11:29,1,type2,Wednesday
transfer,94652,294,67638.14,6/7/2019 10:43,1,type2,Friday
transfer,294,42293,67638.14,6/7/2019 15:16,1,type2,Friday
transfer,57833,5702,58152.8,3/2/2019 15:52,1,type2,Saturday
transfer,5702,65057,58152.8,3/4/2019 15:59,1,type2,Monday
transfer,65057,8971,58152.8,3/16/2019 15:18,1,type2,Saturday
transfer,8971,71695,58152.8,3/17/2019 12:01,1,type2,Sunday
transfer,71695,40056,58152.8,4/5/2019 15:38,1,type2,Friday
transfer,40056,65904,58152.8,4/7/2019 12:23,1,type2,Sunday
transfer,65904,38537,58152.8,4/9/2019 11:13,1,type2,Tuesday
transfer,38537,93771,58152.8,4/9/2019 14:10,1,type2,Tuesday
transfer,93771,48889,58152.8,4/16/2019 13:04,1,type2,Tuesday
transfer,48889,37799,58152.8,4/19/2019 8:51,1,type2,Friday
transfer,37799,78632,58152.8,4/30/2019 10:09,1,type2,Tuesday
transfer,78632,66144,58152.8,5/1/2019 11:42,1,type2,Wednesday
transfer,66144,55902,58152.8,5/7/2019 15:51,1,type2,Tuesday
transfer,55902,46192,58152.8,5/9/2019 13:56,1,type2,Thursday
transfer,46192,92695,58152.8,6/1/2019 13:28,1,type2,Saturday
transfer,92695,9761,58152.8,6/6/2019 15:56,1,type2,Thursday
transfer,9761,73630,58152.8,6/8/2019 12:53,1,type2,Saturday
transfer,73630,79987,58152.8,6/28/2019 11:47,1,type2,Friday
transfer,79987,9368,58152.8,7/1/2019 10:48,1,type2,Monday
transfer,9368,88486,58152.8,7/10/2019 12:02,1,type2,Wednesday
transfer,88486,66606,58152.8,7/10/2019 13:19,1,type2,Wednesday
transfer,66606,35053,58152.8,7/12/2019 14:21,1,type2,Friday
transfer,35053,50985,58152.8,7/13/2019 13:26,1,type2,Saturday
transfer,50985,88714,58152.8,7/17/2019 10:39,1,type2,Wednesday
transfer,95835,53518,79524.97,5/7/2019 11:23,1,type2,Tuesday
transfer,53518,60865,79524.97,5/15/2019 8:25,1,type2,Wednesday
transfer,60865,67506,79524.97,5/16/2019 12:05,1,type2,Thursday
transfer,67506,41341,79524.97,6/8/2019 9:04,1,type2,Saturday
transfer,41341,25679,79524.97,7/9/2019 11:52,1,type2,Tuesday
transfer,3961,76162,68505.95,3/4/2019 15:20,1,type2,Monday
transfer,76162,71574,68505.95,4/16/2019 13:34,1,type2,Tuesday
transfer,71574,67662,68505.95,5/13/2019 15:17,1,type2,Monday
transfer,67662,57384,68505.95,5/19/2019 15:55,1,type2,Sunday
transfer,57384,90524,68505.95,6/2/2019 9:04,1,type2,Sunday
transfer,68625,17909,66153.28,2/28/2019 13:01,1,type2,Thursday
transfer,17909,38002,66153.28,3/20/2019 10:07,1,type2,Wednesday
transfer,38002,56721,66153.28,4/23/2019 15:10,1,type2,Tuesday
transfer,56721,33784,66153.28,4/24/2019 8:55,1,type2,Wednesday
transfer,33784,51575,66153.28,6/17/2019 11:15,1,type2,Monday
transfer,51575,78164,66153.28,6/17/2019 15:44,1,type2,Monday
transfer,78164,93853,66153.28,6/22/2019 15:22,1,type2,Saturday
transfer,93853,76022,66153.28,6/25/2019 8:13,1,type2,Tuesday
transfer,76022,19634,66153.28,7/1/2019 15:21,1,type2,Monday
transfer,66897,87520,64217.83,3/8/2019 8:13,1,type2,Friday
transfer,87520,87615,64217.83,3/31/2019 9:34,1,type2,Sunday
transfer,87615,52483,64217.83,4/16/2019 14:05,1,type2,Tuesday
transfer,52483,76267,64217.83,5/8/2019 11:52,1,type2,Wednesday
transfer,76267,45383,64217.83,5/11/2019 8:41,1,type2,Saturday
transfer,45383,5110,64217.83,5/15/2019 8:23,1,type2,Wednesday
transfer,5110,62286,64217.83,5/20/2019 8:29,1,type2,Monday
transfer,62286,81909,64217.83,5/27/2019 11:03,1,type2,Monday
transfer,81909,26650,64217.83,6/5/2019 11:29,1,type2,Wednesday
transfer,26650,63119,64217.83,6/6/2019 8:53,1,type2,Thursday
transfer,63119,41122,64217.83,6/14/2019 9:08,1,type2,Friday
transfer,41122,54119,64217.83,6/24/2019 12:47,1,type2,Monday
transfer,54119,97966,64217.83,7/6/2019 13:20,1,type2,Saturday
transfer,950,88357,64930.11,3/5/2019 14:57,1,type2,Tuesday
transfer,88357,96627,64930.11,3/13/2019 8:24,1,type2,Wednesday
transfer,96627,71881,64930.11,3/22/2019 13:29,1,type2,Friday
transfer,71881,10608,64930.11,4/17/2019 9:34,1,type2,Wednesday
transfer,10608,16272,64930.11,4/30/2019 8:13,1,type2,Tuesday
transfer,16272,62981,64930.11,5/6/2019 9:41,1,type2,Monday
transfer,62981,11695,64930.11,5/12/2019 12:43,1,type2,Sunday
transfer,11695,74486,64930.11,5/16/2019 12:00,1,type2,Thursday
transfer,74486,38258,64930.11,5/23/2019 10:11,1,type2,Thursday
transfer,38258,93492,64930.11,5/28/2019 8:40,1,type2,Tuesday
transfer,93492,2466,64930.11,5/30/2019 10:33,1,type2,Thursday
transfer,2466,44313,64930.11,6/4/2019 12:30,1,type2,Tuesday
transfer,44313,37630,64930.11,6/7/2019 13:21,1,type2,Friday
transfer,37630,98242,64930.11,6/22/2019 15:28,1,type2,Saturday
transfer,98242,15558,64930.11,7/13/2019 13:33,1,type2,Saturday
transfer,15558,81278,64930.11,7/15/2019 10:00,1,type2,Monday
transfer,14363,95594,59726.19,2/23/2019 14:57,1,type2,Saturday
